college,class_plan,total_enrollment
Abilene Christian University,Primarily in person,5204
Abraham Baldwin Agricultural College,Primarily online,4291
Adams State University,Hybrid,3110
Adelphi University,Primarily online,8146
Adrian College,Primarily in person,1856
AdventHealth University,Primarily online,1705
Agnes Scott College,Fully online,1030
Akron Institute of Herzing University,Hybrid,453
Alabama A&M University,Hybrid,6106
Alabama State University,Hybrid,4413
Alaska Bible College,Fully in person,45
Alaska Pacific University,Primarily online,502
Albany College of Pharmacy and Health Sciences,Hybrid,1331
Albany State University,Hybrid,6371
Albertus Magnus College,Primarily in person,1456
Albion College,Fully in person,1533
Albright College,Hybrid,1934
Alcorn State University,Primarily online,3658
Alderson Broaddus University,Primarily in person,911
Alfred State College,Primarily in person,3737
Alfred University,Primarily in person,2302
Alice Lloyd College,Undetermined,644
Allegheny College,Fully in person,1771
Allegheny Wesleyan College,Hybrid,72
Allen College,Primarily in person,662
Allen University,Hybrid,743
Alma College,Primarily in person,1433
Alpena Community College,Primarily online,1429
Alvernia University,Primarily in person,2792
Alverno College,Other,1851
America Evangelical University,Primarily in person,85
American Academy of Art,Fully in person,242
American Baptist College,Fully online,123
American Conservatory Theater,Other,46
American International College,Primarily online,3152
American Jewish University,Fully online,168
American Musical and Dramatic Academy,Primarily online,1676
American University,Fully online,14311
Amherst College,Primarily online,1855
Amridge University,Fully online,755
Andrew College,Fully in person,293
Andrews University,Primarily in person,3407
Angelo State University,Hybrid,10387
Anna Maria College,Primarily in person,1461
Antelope Valley College,Primarily online,14239
Antioch College,Hybrid,102
Apex School of Theology,Other,554
Appalachian Bible College,Fully in person,263
Appalachian State University,Primarily online,19108
Aquinas College,Primarily online,1758
Arapahoe Community College,Hybrid,11544
Arcadia University,Primarily online,3662
Arizona Christian University,Hybrid,776
Arizona State University,Hybrid,51585
Arizona State University-Downtown Phoenix,Hybrid,11584
Arizona State University-Polytechnic,Hybrid,5095
Arizona State University-Skysong,Hybrid,38540
Arizona State University-West,Primarily online,4445
Arkansas Baptist College,Fully online,525
Arkansas State University,Primarily in person,13709
Arkansas Tech University,Primarily in person,12101
Arlington Baptist University,Hybrid,170
