,state,college,cases,college_size_category,distance_educ_offered,admissions_total,freshmen_enrollment,admissions_men,admissions_women,number_freshmen_submitting_sat,number_freshmen_submitting_act,sat_ebrw_25,sat_ebrw_75,sat_math_25,sat_math_75,act_comp_25,act_comp_75,act_english_25,act_english_75,act_math_25,act_math_75,football_conference,region,status_reopening,stay_at_home_order,large_gatherings,restaurant_limits,bar_closures,face_coverings,class_plan,total_enrollment,percent_infected,greater_than_5
0,Alabama,Alabama A&M University,41.0,3.0,1.0,8789.0,1710.0,2828.0,5961.0,592.0,1251.0,430.0,510.0,410.0,500.0,15.0,19.0,14.0,20.0,15.0,18.0,Southwestern Athletic Conference,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Hybrid,6106,0.006714706845725516,0
1,Alabama,Alabama State University,2.0,2.0,1.0,6467.0,1023.0,1963.0,4320.0,275.0,819.0,450.0,510.0,430.0,510.0,15.0,19.0,14.0,20.0,15.0,17.0,Southwestern Athletic Conference,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Hybrid,4413,0.00045320643553138455,0
2,Alabama,Auburn University,2134.0,5.0,1.0,16300.0,4808.0,6997.0,9303.0,866.0,3911.0,580.0,650.0,570.0,670.0,25.0,31.0,25.0,33.0,23.0,28.0,Southeastern Conference,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Hybrid,30440,0.07010512483574244,1
3,Alabama,Auburn University at Montgomery,140.0,3.0,1.0,3716.0,626.0,1306.0,2410.0,39.0,530.0,470.0,570.0,450.0,580.0,19.0,23.0,19.0,24.0,16.0,22.0,Not applicable,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Hybrid,5211,0.026866244482824795,0
4,Alabama,Birmingham-Southern College,214.0,2.0,1.0,1821.0,332.0,842.0,979.0,58.0,246.0,570.0,660.0,540.0,650.0,22.0,29.0,22.0,30.0,20.0,27.0,Southern Athletic Association,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Primarily in person,1268,0.16876971608832808,1
6,Alabama,Jacksonville State University,219.0,3.0,1.0,5581.0,1493.0,2152.0,3429.0,18.0,1327.0,480.0,590.0,450.0,570.0,18.0,24.0,17.0,25.0,16.0,23.0,Ohio Valley Conference,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Primarily online,8479,0.025828517513857768,0
8,Alabama,Samford University,480.0,3.0,1.0,3259.0,901.0,1028.0,2231.0,328.0,758.0,550.0,640.0,520.0,610.0,23.0,29.0,23.0,32.0,21.0,27.0,Southern Conference,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Hybrid,5619,0.08542445274959957,1
9,Alabama,Spring Hill College,124.0,2.0,1.0,3791.0,292.0,1223.0,2568.0,56.0,258.0,510.0,610.0,515.0,590.0,20.0,25.0,20.0,27.0,18.0,25.0,Not applicable,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Hybrid,1379,0.08992023205221175,1
10,Alabama,Troy University,749.0,4.0,1.0,5382.0,1679.0,2006.0,3376.0,95.0,1046.0,470.0,550.0,460.0,540.0,18.0,24.0,19.0,26.0,17.0,24.0,Sun Belt Conference,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Hybrid,16981,0.044108120840939874,0
11,Alabama,Tuskegee University,110.0,2.0,1.0,5561.0,526.0,1636.0,3925.0,298.0,338.0,460.0,558.0,420.0,540.0,18.0,23.0,17.0,24.0,16.0,22.0,Southern Intercollegiate Athletic Conference,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Hybrid,3026,0.036351619299405155,0
12,Alabama,University of Alabama,3361.0,5.0,1.0,31835.0,6764.0,12230.0,19605.0,1808.0,4892.0,550.0,660.0,530.0,680.0,23.0,31.0,23.0,33.0,21.0,29.0,Southeastern Conference,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Primarily in person,38390,0.08754884084396979,1
13,Alabama,University of Alabama at Birmingham,2286.0,5.0,1.0,6112.0,2346.0,2279.0,3833.0,312.0,2159.0,560.0,680.0,530.0,685.0,22.0,29.0,22.0,32.0,20.0,27.0,Conference USA,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Primarily online,21923,0.10427405008438625,1
14,Alabama,University of Alabama in Huntsville,210.0,3.0,1.0,4372.0,1497.0,2500.0,1872.0,108.0,1380.0,617.0,720.0,620.0,770.0,25.0,31.0,25.0,34.0,24.0,30.0,Not applicable,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Hybrid,9736,0.021569433032046014,0
15,Alabama,University of Montevallo,140.0,2.0,1.0,2954.0,493.0,936.0,2018.0,68.0,456.0,520.0,620.0,510.0,620.0,20.0,25.0,20.0,27.0,17.0,24.0,Not applicable,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Primarily in person,2612,0.05359877488514548,1
16,Alabama,University of North Alabama,488.0,3.0,1.0,2389.0,1030.0,829.0,1560.0,45.0,991.0,520.0,610.0,495.0,570.0,20.0,26.0,20.0,27.0,17.0,24.0,Big South Conference,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Hybrid,7488,0.06517094017094018,1
17,Alabama,University of South Alabama,507.0,4.0,1.0,4997.0,1617.0,1829.0,3168.0,152.0,1523.0,520.0,620.0,510.0,600.0,20.0,27.0,21.0,29.0,18.0,26.0,Sun Belt Conference,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Primarily online,14834,0.03417823918026156,0
18,Alabama,University of West Alabama,30.0,3.0,1.0,2644.0,322.0,938.0,1706.0,25.0,297.0,440.0,520.0,420.0,500.0,18.0,22.0,16.0,21.0,18.0,24.0,Gulf South Conference,South,Paused,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Fully in person,5200,0.0057692307692307696,0
21,Alaska,University of Alaska Fairbanks,130.0,3.0,1.0,1051.0,686.0,460.0,591.0,273.0,261.0,520.0,650.0,510.0,630.0,17.0,25.0,15.0,25.0,17.0,25.0,Not applicable,West,Reopened,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for Certain Employees,Hybrid,7404,0.01755807671528903,0
23,Arizona,Arizona State University,3642.0,5.0,1.0,29562.0,10044.0,15231.0,14331.0,5801.0,5857.0,560.0,670.0,560.0,690.0,22.0,28.0,21.0,29.0,22.0,28.0,Pacific-12 Conference,West,New Restrictions Imposed,Lifted,New Limit on Large Gatherings in Place,New Service Limits,Closed,Required for Certain Employees,Hybrid,51585,0.07060191916254725,1
27,Arizona,University of Arizona,2959.0,5.0,1.0,34558.0,7683.0,14856.0,19702.0,3932.0,3821.0,560.0,670.0,550.0,690.0,21.0,29.0,20.0,29.0,20.0,28.0,Pacific-12 Conference,West,New Restrictions Imposed,Lifted,New Limit on Large Gatherings in Place,New Service Limits,Closed,Required for Certain Employees,Primarily online,44097,0.06710207043563055,1
28,Arkansas,Arkansas State University,1153.0,4.0,1.0,3747.0,1395.0,1506.0,2241.0,34.0,1330.0,510.0,610.0,503.0,610.0,21.0,27.0,21.0,29.0,19.0,26.0,Sun Belt Conference,South,Paused,-,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,13709,0.08410533226347655,1
30,Arkansas,Central Baptist College,20.0,1.0,1.0,212.0,105.0,105.0,107.0,11.0,95.0,418.0,520.0,440.0,543.0,17.0,22.0,18.0,22.0,17.0,22.0,Not applicable,South,Paused,-,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,732,0.0273224043715847,0
